tp,seq_len,mbs,time
2,256,4,6.39854591
2,256,8,9.42024704
2,256,16,15.488174069999998
2,256,32,27.52215894
2,304,1,3.7032466
2,304,2,4.5075173
2,304,4,6.252148899999998
2,304,8,9.8798791
2,304,16,17.24192068
2,400,1,4.1200173399999995
2,400,2,5.272797359999999
2,400,4,7.426735179999998
2,400,8,12.22260272
2,400,16,21.78628142
2,512,1,4.86944768
2,512,2,6.44056064
2,512,4,9.48089855
2,512,8,15.56665343
2,512,16,27.628705949999997
2,512,32,51.58056828000001
2,720,1,4.899271779999999
2,720,2,7.068074599999999
2,720,4,11.476658460000001
2,720,8,20.36465182
2,720,16,36.85572275999999
2,1008,1,5.977587819999997
2,1008,2,8.950173499999998
2,1008,4,15.12217976
2,1008,8,27.08163696
2,1008,16,51.12485059999999
2,1024,1,6.454016
2,1024,2,9.53320448
2,1024,4,15.739647580000002
2,1024,8,27.93290594
2,1024,16,52.078293759999994
2,1024,32,100.03012558999998
2,1520,1,7.310041139999998
2,1520,2,12.1308261
2,1520,4,21.672058180000004
2,1520,8,39.95821578
2,1520,16,76.3556385
2,2048,1,9.716654069999999
2,2048,2,16.08088574
2,2048,4,28.530543859999998
2,2048,8,53.20359765
2,2048,16,102.24334796
2,2752,1,11.70989574
2,2752,2,20.494445900000002
2,2752,4,37.23791268
2,4096,1,16.814059519999997
2,4096,2,29.88735415
2,4096,4,55.697221909999996
2,8192,1,32.236099
2,8192,2,60.133954900000006
2,8192,4,115.82047486666667
4,256,1,3.8382591999999986
4,256,2,4.3630591999999995
4,256,4,5.022822400000001
4,256,8,6.981222400000002
4,256,16,10.368511999999999
4,512,1,4.256768
4,512,2,4.900864
4,512,4,6.859161600000002
4,512,8,10.402611199999999
4,512,16,18.1651456
4,1024,1,5.4377472000000004
4,1024,2,6.8544512000000015
4,1024,4,10.525286399999999
4,1024,8,18.3494653
4,1024,16,33.17134990000001
4,2048,1,6.869811200000002
4,2048,2,10.722235733333331
4,2048,4,18.702643133333332
4,2048,8,33.7385778
4,2048,16,64.41109739999999
4,4096,1,11.125521066666664
4,4096,2,19.3716224
4,4096,4,34.98150910000001
4,4096,8,66.7266692
4,8192,1,20.730811733333336
4,8192,2,37.51539793333333
4,8192,4,71.37231853333331
8,128,1,2.7556507000000003
8,128,2,2.7927628200000005
8,128,4,3.0915901399999997
8,128,8,3.7776010600000003
8,128,16,5.574979379999999
8,160,1,2.8992850199999998
8,160,2,2.96169048
8,160,4,3.1485249600000005
8,160,8,4.01010882
8,160,16,6.365848500000001
8,224,1,2.8838035600000005
8,224,2,2.9934479200000004
8,224,4,3.5168205200000004
8,224,8,5.07335918
8,224,16,7.713373720000001
8,256,1,3.0134271999999998
8,256,2,3.5760128
8,256,4,4.790272
8,256,8,6.0548096000000005
8,256,16,8.315289600000002
8,304,1,2.9867224999999995
8,304,2,3.1694948600000004
8,304,4,3.9819112800000003
8,304,8,6.060311220000001
8,304,16,9.049148820000001
8,400,1,3.01623316
8,400,2,3.4239761800000004
8,400,4,4.5927252
8,400,8,7.30273358
8,400,16,11.25727974
8,512,1,3.5375104
8,512,2,4.048179199999999
8,512,4,5.6977408
8,512,8,8.4040704
8,512,16,13.459558399999997
8,720,1,3.2391335800000003
8,720,2,4.3809342000000004
8,720,4,6.669811140000002
8,720,8,10.180279700000002
8,720,16,17.737124119999997
8,1008,1,3.7659329
8,1008,2,5.78424778
8,1008,4,8.30644082
8,1008,8,13.40985666
8,1008,16,24.19188252
8,1024,1,3.8965657499999997
8,1024,2,5.742039030000001
8,1024,4,8.415180800000002
8,1024,8,13.582858239999998
8,1024,16,24.57842663
8,1520,1,4.534700140000001
8,1520,2,6.96640338
8,1520,4,10.66380906
8,1520,8,18.83254192
8,1520,16,34.78735086
8,2048,1,5.21835274
8,2048,2,8.577126400000001
8,2048,4,13.819938099999996
8,2048,8,24.94064626666667
8,2048,16,45.911583433333334
8,2752,1,6.9243121200000015
8,2752,2,10.24876706
8,2752,4,17.662583880000003
8,2752,8,32.81379756
8,2752,16,61.13030075999998
8,4096,1,8.819097566666668
8,4096,2,14.25319253333333
8,4096,4,25.66611626666667
8,4096,8,42.29895530999999
8,4096,16,82.20711491
8,4656,1,9.45464314
8,4656,2,15.930648340000003
8,4656,4,28.865436199999994
8,6240,1,12.02176902
8,6240,2,20.77398804
8,6240,4,38.134946279999994
